Id,Label
9908176,Conformal Models of Thirring Type and the Affine Virasoro Construction
9909110,Little String Theory in a Double Scaling Limit
9909139,Comments on Gauge Equivalence in Noncommutative Geometry
9908103,The gravitational chiral anomaly of spin-1/2 field in the presence of
9909054,Comments on Non-Supersymmetric Type I Vacua
9909048,Mass Hierarchy and Trapping of Gravity
9909055,Bulk to Boundary Relation Between Topological Models and Supergravity
9909127,Localized Gravity on Branes in anti-de Sitter Spaces
9909065,Short distance behaviour of correlators in the 2D Ising model in a
9908186,Brane Junctions in the Randall-Sundrum Scenario
9908171,N=4 supersymmetric Yang-Mills theory and the AdS/SCFT correspondence
9909064,Superspace formulation of general massive gauge theories and geometric
9908160,Extremal Correlators in the AdS/CFT Correspondence
9908102,Dynamics of M-Theory Cosmology
9908157,Brane-wave Duality
9909223,Open group transformations within the Sp(2)-formalism
9909026,BRST invariant formulation of spontaneously broken gauge theory in
9909087,Quantization and Scattering in the IIB SL(2;Z) Covariant Superstring
9908187,New Duality Transformations in Orbifold Theory
9909180,(Generalized) Conformal Quantum Mechanics of 0-Branes and
9909227,Symmetries and interactions in matrix string theory
9909029,Dynamical Symmetry Breaking in Planar QED
9909046,Three loop renormalization of the SU(N_c) non-abelian Thirring model
9909009,Invariant Hamiltonian Quantization of General Relativity
9908146,Logarithmic Unification From Symmetries Enhanced in the Sub-Millimeter
9909220,Remarks on Defining the DLCQ of Quantum Field Theory as a Light-Like
9909096,Generalized Calibrations
9909221,The Physical Projector and Topological Quantum Field Theories: U(1)
9908123,From Screening to Confinement in a Gauge-Invariant Formalism
9908150,Gott Time Machines; BTZ Black Hole Formation; and Choptuik Scaling
9909166,Remarks on Topological SUSY in sixdimensional TQFTs
9909014,Is the axial anomaly really determined in a continuous non-perturbative
9909008,The second Chern class in Spinning System
9909205,Brane-World Black Holes
9910126,D1D5 System and Noncommutative Geometry
9909017,D-Branes in Linear Dilaton Backgrounds
9909119,The Supercharges of Eleven-dimensional Supergraviton on Gravitational
9910134,Diffeomorphisms and Weyl transformations in AdS_3 gravity
9909037,A Monopole-Antimonopole Solution of the SU(2) Yang-Mills-Higgs Model
9908189,String Theory on AdS3: Some Open Questions
9909070,Gravitational Stability and Renormalization-Group Flow
9908201,Instantons; finite N=2 Sp(N) theories and the AdS/CFT correspondence
9908163,Superconformal Field Theories; Multiplet Shortening; and the
9908155,Aspects of Type 0 String Theory
9909210,Casimir-Polder energy and dilute dielectric ball : nondispersive case
9908162,N=2 SCFT and M Theory on AdS_4 x Q^{1;1;1}
9909022,M-theory and Deformation Quantization
9909089,D-branes in a topologically nontrivial B-field
9908210,Spontaneous Symmetry Breaking of q-Gauge Field Theory
9909078,On Statistical Mechanics of Instantons in the CP^{N_c-1} Model
9909039,Recursive Construction of Generator for Lagrangian Gauge Symmetries
9909222,Probing AdS/CFT correspondence via world-sheet methods and 2d gravity
9909083,On the singular spectrum of the Almost Mathieu operator. Arithmetics and
9909167,Branes with Background Fields in Boundary State Formalism
9908195,Gauge Field Theories on a Transverse Lattice
9908133,Vacuum Interpretation for Supergravity M-Branes
9908161,A Hamiltonian Light-Front Approach to the Calculation of the Physical
9909204,Self-Adjointness of the Dirac Hamiltonian and Vacuum Quantum Numbers
9908182,Delocalized Supergravity Solutions for Brane/Anti-brane Systems and
9908180,Tensionless String in the Notoph Background
9909212,Mass scales in string and M-theory
9908178,Aspects of Duality and Confining Strings
9908159,Anyon Condensation and Persistent Currents
9908121,Stable D8-branes and Tachyon Condensation in Type 0 Open String Theory
9909040,Wilson Loops in Large N Theories
9909066,Global Aspects of Quantizing Yang-Mills Theory
9908120,Supersymmetric Index and s-rule for Type IIB Branes
9909033,Quantisation without Gauge Fixing: Avoiding Gribov Ambiguities through
9908179,On The Baxter's Q - Operator for the XXX Spin Chain
9909081,D-brane Physics and Noncommutative Yang-Mills Theory
9909173,Bosonic Field Propagators on Algebraic Curves
9909122,Mordell-Weil Lattice via String Junctions
9909059,Closed Strings Interacting with Noncommutative D-branes
9909073,Instantons at Strong Coupling; Averaging over Vacua; and the Gluino
9910133,On Nonlinear Gauge Theory from a Deformation Theory Perspective
9909154,On the non-abelian Born-Infeld action
9908190,Superpropagators for explicitly broken 3D-supersymmetric theories
9909108,Discrete Torsion and Gerbes I
9909133,Topological gauge invariant variables in QCD
9909045,Pair creation of neutral particles in a vacuum by external
9908153,Generalized Conformal Symmetry and Oblique AdS/CFT Correspondence for
9910143,Anomaly cancellation in D=4; N=1 orientifolds and linear/chiral
9910173,Product Integral Formalism and Non-Abelian Stokes Theorem
9910224,Large-N limit of the generalized 2D Yang-Mills theory on cylinder
9910200,A Simple Proof of the Non-Renormalization of the Chern-Simons Coupling
9910264,Nonabelian Duality and Solvable Large N Lattice Systems
9910218,Integrable Quantum Field Theories with Unstable Particles
9910023,Quantum effective action from the AdS/CFT correspondence
9910105,Three-Dimensional Gravity with Conformal Scalar and Asymptotic Virasoro
9910157,Canonical Formulation of the Light-Front Gluodynamics and Quantization
9910022,The Dynamics of Very Special Black Holes
9910116,Euclidean Freedman-Schwarz model
9911011,Solitons; Superpotentials and Calibrations
9910001,Approximations for strongly-coupled supersymmetric quantum mechanics
9910229,On heavy states in supersymmetric gluodynamics at large N
9910252,Four-dimensional N=4 SO(4) Gauged Supergravity from D=11
9910203,Search for periodic vacuum in QED_2
9910207,On the Heterotic/F-Theory Duality in Eight Dimensions
9910085,Symplectic Dirac-Kahler Fields
9910228,Discrete torsion in non-geometric orbifolds and their open-string
9910109,Dirichlet Branes on Orbifolds
9910180,Path integral and pseudoclassical action for spinning particle in
9910174,Mirage Cosmology
9910179,Area law corrections from state counting and supergravity
9910190,On Finite-Volume Gauge Theory Partition Functions
9910245,Connectedness Of The Boundary In The AdS/CFT Correspondence
9910073,The General Decomposition Theory of SU(2) Gauge Potential; Topological
9910149,Dynamics of Anti-de Sitter Domain Walls
9910040,Holographic Stress Tensors for Kerr-AdS Black Holes
9910145,Quantization of Superstrings in Ramond-Ramond Backgrounds
9910210,Twisted Boundary Conditions and Matching to the Effective Four
9910058,A gauge invariant exact renormalization group I
9910201,Cohomological analysis of gauged-fixed gauge theories
9910035,On Magnetic Catalysis and Gauge Symmetry Breaking
9910006,Statistical Mechanics of Charged Black Holes in Induced Einstein-Maxwell
9910161,Towards supersymmetric cosmology in M theory
9910205,Vertex Operators for AdS3 Background With Ramond Ramond Flux
9910115,Eisenstein Series in String Theory
9910138,A Path Integral Representation of the Map between Commutative and
9910047,Green-Schwarz Superstrings on AdS_3 and the Boundary N=4 Superconformal
9910119,Kostant's cubic Dirac operator of Lie Superalgebras
9911010,Massless vs. Massive Hawking Radiation in AdS$_2$ Spacetime
9910148,Integers in the open string
9910199,Superconformal Symmetry in Three-dimensions
9910104,The branch process of the cosmic strings
9910014,1+1 Gauge Theories in the Light-Cone Representation
9910152,Physical equivalence on non-standard space and symmetries on
9910197,Two-point functions of chiral operators in {\cal N}=4 SYM at order g^4
9910075,Line bundles in supersymmetric coset models
9910189,Generalized Invariants and Quantum Evolution of Open Fermionic System
9910158,Comments on `` Black Hole Entropy from Conformal Field Theory in Any
9910084,Topological current of point defects and its bifurcation
9911004,Some Thermodynamical Aspects of String Theory
9910051,Georgi-Goldstone realization of Chiral Symmetry in Quantum
9910214,Algebraic Aspects of Interactions of Massive Spinning Particles in Three
9910039,Schwinger terms of the commutator of two interacting currents in the 1+1
9910150,Extremal correlators in four-dimensional SCFT
9910172,D-Branes and Bundles on Elliptic Fibrations
9910108,A Numerical Experiment in DLCQ: Microcausality; Continuum Limit and all
9910251,Quantization of the Superstring in Ramond-Ramond Backgrounds
9910096,Higher Spin Gauge Theories: Star-Product and AdS Space
9910202,Radius Stabilization and Anomaly-Mediated Supersymmetry Breaking
9910260,Tachyonic modes on type 0 NS5-branes
9910255,Exact results on quantum field theories interpolating between pairs of
9910076,AdS$_2$/CFT$_1$ correspondence and near-extremal black hole entropy
9911005,Entropy of extreme three-dimensional charged black holes
9910193,U-duality of Born-Infeld Theory
9910182,BPS Structure of Argyres-Douglas Superconformal Theories
9910003,Octonionic Yang-Mills Instanton on Quaternionic Line Bundle of Spin(7)
9910194,D1/D5 System with B-field; Noncommutative Geometry and the CFT of the
9910002,Bifurcation of Periodic Instanton in Decay-Rate Transition
9910020,The General; Duality-Invariant Family of Non-BPS Black-Hole Solutions of
9910267,Diffeomorphisms and Holographic Anomalies
9910034,Relativistic two-body system in (1+1)-dimensions
9910177,Exotic Gauge Theories from Tensor Calculus
9910178,Path integral quantization of the Poisson-Sigma model
9910209,Cohomological Field Theories with Kahler Structure
9910250,On Inherited Duality in N=1 d=4 Supersymmetric Gauge Theories
9910262,Scaling Behaviors of Branched Polymers
9910089,Wilson loops from supergravity and string theory
9910016,Non-renormalisation of extremal correlators in N=4 SYM theory
9910263,p-p' System with B-field; Branes at Angles and Noncommutative Geometry
9910188,Equations of Motion for Massive Spin 2 Field Coupled to Gravity
9911001,Superconformal Multi-Black Hole Moduli Spaces in Four Dimensions
9910258,On the Deformation of $\Lambda$-Symmetry in B-field Background
9910081,Supergravity Inspired Warped Compactifications and Effective
9910072,Vacuum effects in an asymptotically uniformly accelerated frame with a
9911015,Nonsingular global string compactifications
9910004,Wilson Loops in Noncommutative Yang Mills
9910037,Quantum Anti-de Sitter space and sphere at roots of unity
9910067,Killing gauge for the 0-brane on $AdS_2 \times S^2$ coset superspace
9910225,"Reply Comment on ""Entropy of 2D black holes from counting microstates"""
9910025,Conformal Invariance for Non-Relativistic Field Theory
9910212,On the generalized Legendre transform and monopole metrics
9910266,Type II Branes from Brane-Antibrane in M-theory
9910110,Unitary Supermultiplets of OSp(8^*|4) and the AdS_7/CFT_6 Duality
9910220,A New Superconformal Mechanics
9910239,A new topological aspect of the arbitrary dimensional topological
9910195,Bottleneck Surfaces and Worldsheet Geometry of Higher-Curvature Quantum
9910019,On 1/N Corrections to the Entropy of Noncommutative Yang-Mills Theories
9910167,On the renormalization of periodic potentials
9910069,Linking observables in perturbed topological field theories
9910015,Microscopic- versus Effective Coupling in N=2 Yang-Mills With Four
9910112,Classical Wakimoto Realizations of Chiral WZNW Bloch Waves
9910140,On possibility of Decoherence due to Relativistic Effect
9910154,Casimir energy of massive MIT fermions in a Bohm-Aharonov background
9910217,Non-BPS States and Heterotic - Type I' Duality
9910243,The Quest for Understanding in Relativistic Quantum Physics
9910086,More Ricci-flat branes
9910055,Two loops in eleven dimensions
9910192,Local Symmetries in the AdS_7/CFT_6 Correspondence
9910159,Limits of the D-brane action
9910122,Self-Gravitating Strings and String/Black Hole Correspondence
9910087,Non-commutative Unification in Brane World
9910024,Multi-channel Bethe-Salpeter equation
9910139,Degeneracy of zero modes of the Dirac operator in three dimensions
9910227,Polynomial Gauge Invariants of a Bosonic String
9910238,Hypermultiplet Moduli Space and Three Dimensional Gauge Theories
9910118,Instantons in N=4 Sp(N) and SO(N) theories and the AdS/CFT
9910007,Gauging Yang-Mills Symmetries In 1+1-Dimensional Spacetime
9910156,An Introduction to Conformal Field Theory
9910098,Baldness/delocalization in intersecting brane systems
9910107,Stochastic field theory for a Dirac particle propagating in gauge field
9910176,Cosmological Spinning Multi-`Black-Hole' Solution in String Theory
9910261,Genuine Dyons in Born-Infeld Electrodynamics
9910074,A Proof of the AdS-CFT Correspondence
9910094,Continuous Gauge and Supersymmetry Breaking for Open Strings on D-branes
9910031,A Note on Non-Commutative Orbifold Field Theories
9911009,The p-bar p --> pi_0 pi_0 Puzzle
9910236,Effects in Gauge Theories and a Harmonic Function on $E_{10}$
9911006,Critical generation of soliton mode in a gauged O(3) sigma model with
9911007,Composite diholes and intersecting brane-antibrane configurations in
9910257,Non-renormalizability of a SSB gauge theory induced by a non-linear
9910005,Bi-Local Higgs-Like Fields Based on Non-Commutative Geometry
9910233,Remark on the variational principle in the AdS/CFT correspondence for
9910136,Symmetry Realization; Poisson Kernel and the AdS/CFT Correspondence
9910211,Wilson Loops as Matrix Strings
9910165,Effective Energy Approach to Collectively Quantized Systems
9910057,Domain walls junctions from a distance
9910038,Dirac Functional Determinants in Terms of the Eta Invariant and the
9910071,BPS Saturated Solitons in N=2 Two-Dimensional Theories on RxS (Domain
9910166,Winding number transitions at finite temperature in the Abelian-Higgs
9910097,Spectral Zeta Functions for a Cylinder and a Circle
9910231,Positive Mass Theorem for Black Holes in Einstein-Maxwell Axion-dilaton
9910235,Solution Generating in Ten Dimensional Supersymmetric Classical
9910175,An action for the (2;0) self-dual tensor multiplet in a conformal
9910043,Moving Mixed Branes in Compact Spacetime
9910029,Covariant formulation of non-Abelian gauge theories without
9910164,A nonsupersymmetric matrix orbifold
9910146,Holography in a quantum spacetime
9910198,Two-dimensional effective action for matter fields coupled to the
9910008,No Eigenvalue in Finite Quantum Electrodynamics
9910099,Holography; a covariant c-function; and the geometry of the
9910226,Beyond CFT : Deformed Virasoro and Elliptic Algebras
9910135,Deformed Nahm Equation and a Noncommutative BPS Monopole
9910050,D-Walls and Junctions in Supersymmetric Gluodynamics in the Large N
9911012,Nonminimal particle-like solutions in cubic scalar field theory
9910171,Classical glueballs in non-Abelian Born-Infeld theory
9910027,Finite temperature gluon self-energy in a class of temporal gauges
9910213,"Comments on ""Entropy of 2D Black Holes from Counting Microstates"""
9910102,Differential equations and integrable models: the SU(3) case
9910248,Heterotic String Corrections from the Dual Type II String
9910012,Supersymmetry and DLCQ
9910063,Uniqueness of the Thermal Effective Potential
9911013,Zero-brane approach to study of particle-like solitons in classical and
9910009,Asymptotic freedom and Confinement imply spontaneously broken chiral
9910206,A Finite Dimensional Gauge Problem in the WZNW Model
9910256,Exact Renormalization Group and Loop Equation
9910041,Black hole p-brane solutions for general intersection rules
9910079,Permutation orbifolds
9910101,Dirac Relation and Renormalization Group Equations for Electric and
9910103,Modal expansions and non-perturbative quantum field theory in Minkowski
9910033,Calogero-Moser Models V: Supersymmetry and Quantum Lax Pair
9910269,High Energy Scattering in the Brane-World and Black Hole Production
9910162,Partially embedding of the quantum mechanical analog of the nonlinear
9910204,Sine-Gordon Equation and Representations of Affine Kac-Moody Algebra
9911014,Schrodinger quantum modes on the Taub-NUT background
9910222,SDLCQ: Supersymmetric Discrete Light Cone Quantization
9910268,Conformal Field Theories on K3 and Three-Dimensional Gauge Theories
9910082,Comments on Black Holes in String Theory
9910120,Renormalization of QCD Coupling Constant in Terms of Physical Quantities
9910169,The graceful exit in pre-big bang string cosmology
9910163,Particles and Strings in Degenerate Metric Spaces
9910061,Vacuum Geometry
9910142,Use of Physical Variables in the Chern-Simons Theories
9910196,Brane Configuration from Monopole Solution in Non-Commutative Super
9910044,Gravity and instantons
9910208,Domain walls in supersymmetric QCD
9911002,The Holographic Principle for General Backgrounds
9910184,Calabi-Yau Mirror Symmetry as a Gauge Theory Duality
9910077,Curved branes and cosmological (a;b)-models
9910017,Gauge Dependence in the AdS/CFT Correspondence
9910093,An exotic class of Kaluza-Klein models
9910265,Integral representation for the eigenfunctions of quantum periodic Toda
9910048,Non-Abelian Gerbes from Strings on a Branched Space-Time
9910183,Pair Correlation Function of Wilson Loops
9910221,A Model for Topological Fermions
9910160,(Super)conformal many-body quantum mechanics with extended supersymmetry
9910117,Non-conformal examples of AdS/CFT
9910170,Topics in D-geometry
9910054,Del Pezzo Surfaces and Affine 7-brane Backgrounds
9910036,Thermodynamics of Spinning Branes and their Dual Field Theories
9910106,The Holography Hypothesis in Pre-Big-Bang Cosmology with String Sources
9910249,Non-BPS Branes on a Calabi-Yau Threefold and Bose-Fermi Degeneracy
9911008,Backlund Transformations in 10D susy Yang-Mills Theories
9910151,Winding Number Transitions in the Mottola-Wipf Model on a Circle
9910187,Quantum Field Theory of Topological Defects as Inhomogeneous Condensates
9910078,The vortex oscillations in Abelian Higgs model
9910215,Functional Relations in Stokes Multipliers and Solvable Models related
9910018,Classical and Quantum Interaction of the Dipole
9910026,Thermodynamics of Fateev's models in the Presence of External Fields
9910088,A Candidate for Solvable Large N Lattice Gauge Theory in D>2
9910219,Brane cosmological evolution in a bulk with cosmological constant
9910181,M-Theory; Topological Strings and Spinning Black Holes
9910153,Conformal Transformation Properties of the B-type Supercurrent
9910111,Correlation functions for chiral primaries in D=6 Supergravity on $AdS_3
9910046,Chiral Extensions of the WZNW Phase Space; Poisson-Lie Symmetries and
9910147,One-loop Regularization of Supergravity II: The Dilaton and the
9910259,Equilibrium and Non-equilibrium Quantum Field Theory
9910241,D-branes from N non-BPS D9-branes in Type IIA theory
9910234,Instantons in curvilinear coordinates
9910095,An Exact Solution of BPS Domain Wall Junction
9910042,Superstring Phenomenology - A Personal Perspective
9910080,Scalar QED $\hbar$-Corrections to the Coulomb Potential
9910246,Abelian Vectors and Self-Dual Tensors in Six-Dimensional Supergravity
9910232,Making the gravitational path integral more Lorentzian; or: Life beyond
9910052,Multiple Dp-branes in Weak Background Fields
9910240,The Parisi-Sourlas Mechanism in Yang-Mills Theory?
9911003,String Theory and Black Holes
9910056,The low energy expansion of the one-loop type II superstring amplitude
9910237,Regular R-R and NS-NS BPS black holes
9910185,Holography in (2+1)-dimensional cosmological models
9910045,Structure of Spinning Particle Suggested by Gravity; Supergravity and
9910141,Closed Path Integrals and Renormalisation in Quantum Mechanics
9910155,A New Orientifold of C^2/Z_N and Six-dimensional RG Fixed Points
9910113,Weyl anomaly from Weyl gravity
9910254,Morse potential energy spectra through the variational method and
9910064,Large Extra Dimensions and Noncommutative Geometry in String Theory
9910010,Quaternionic Spin
9910114,QED_2 Light-Front Hamiltonian reproducing all orders of covariant chiral
9910244,Black Hole Thermodynamics and Two-Dimensional Dilaton Gravity Theory
9910100,Gauge Spinors and String Duality
9910066,Superconformal field theories from IIB spectroscopy on $AdS_5\times
9910013,Asymptotic Dynamics and Asymptotic Symmetries of Three-Dimensional
9910083,Noncommutative Geometry and Anyonic Field Theory in the Magnetic Field
9910090,Small Instantons and Weak Scale String Theory
9910068,Finite Size Effects in the Anisotropic \lambda/4!(\phi^4_1 + \phi^4_2)_d
9910186,One loop fermion contribution to the effective potential for constant
9910021,Supersymmetric Multiple Basin Attractors
9910121,A Note concerning Subsingular Vectors and Embedding Diagrams of the N=2
9910032,Stochastic Quantization of Bottomless Systems: Stationary quantities in
9910144,Fivebrane instantons and higher derivative couplings in type I theory
9910011,Explicit construction of nilpotent covariants in N=4 SYM
9910028,The Geometry of Supersymmetric Quantum Mechanics
9910060,Causal Quantum Gravity
9910216,Non-perturbative N=1 strings from geometric singularities
9910191,Quantisation and Gauge Invariance
9910168,On the Consistency of a Fermion-Torsion Effective Theory
9910247,Reply to the comment by Park and Ho
9910253,Solution of the quantum inverse problem
9910242,Minimal String Driven Cosmology and its Predictions
9910223,Duality Induced Reflections and CPT
9910065,w_{\infty} Algebras; Conformal Mechanics; and Black Holes
9910053,Dielectric-Branes
9910030,Tools for supersymmetry
9910137,Effective Action for an SU(2) Gauge Model with a Vortex
9910062,(m;n)-Strings In IIB Matrix Model
9910091,Non-Commutative Geometry on a Discrete Periodic Lattice and Gauge Theory
9910230,Anomalies for Nonlocal Dirac Operators
9910059,The antisymmetric tensor propagator in AdS
9910092,On the Thermodynamics of Large N Noncommutative Super Yang-Mills Theory
9910049,S-Duality for Linearized Gravity
9910070,Non-chiral fusion rules; structure constants of D_m minimal models
9911058,Pasquier Models at c=1: Cylinder Partition Functions and the role of the
9912022,Calibrated Geometries and Non Perturbative Superpotentials in M-Theory
9912035,Instantons versus Monopoles
9912020,Wilson Loop and the Treatment of Axial Gauge Poles
9912016,Ward identities and the vanishing theorem for loop amplitudes of the
9911157,Holography and the generalized second law of thermodynamics in
9911083,BPS Domain Wall Junctions in Infinitely Large Extra Dimensions
9911146,Mixed Branes Interaction in Compact Spacetime
9911104,Modeling a network of brane worlds
9912004,Common vacuum conservation amplitude in the theory of the radiation of
9912034,Scattering Matrix of the SU(n) Gauge Theory with Explicit Gauge Mass
9911220,Generalization of Calabi-Yau/Landau-Ginzburg correspondence
9911043,Exact Description of Black Holes on Branes
9911191,Quantum Minimal Length and Transplanckian Photons
9911170,Yang-Mills Integrals
9912012,On the Holographic Renormalization Group
9911071,What good are quantum field theory infinities?
9911091,Holography; degenerate horizons and entropy
9911122,Non-local Symmetries of Nonlinear Field Equations: an Algebraic Approach
9911172,On the Supergravity Evaluation of Wilson Loop Correlators in Confining
9911252,What does E_8 know about 11 dimensions ?
9911245,Instantons in the U(1) Born-Infeld Theory and Noncommutative Gauge
9912038,Noncommutative Dirac-Born-Infeld Action for D-brane
9911187,Affine Kac-Moody Algebras and the Wess-Zumino-Witten Model
9911084,S-duality and Tensionless 5-branes in Compactified Heterotic String
9911118,Quantization of the Graviton Field; Characterization of the Physical
9911102,A small but nonzero cosmological constant
9911159,The Composite Operator (CJT) Formalism in the
9911158,Counterterms in type I Supergravities
9911030,On the quantum inverse scattering problem
9911070,Quasilocal energy for rotating charged black hole solutions in general
9911250,Coupling of vector fields at high energies
9911029,Anomaly mediation in supergravity theories
9911042,On the geometry of non-trivially embedded branes
9911089,Duality of massive gauge invariant theories in arbitrary space-time
9911210,Null Branes in String Theory Backgrounds
9911137,Supergravity with Self-dual B fields and Instantons in Noncommutative
9912026,Anomalies in Ward Identities for Three-Point Functions Revisited
9911200,Recent Developments in String Theory
9911229,Open Descendants of Non-Diagonal Invariants
9911138,Fivebrane Gravitational Anomalies
